School,brglm_cauchit_15,brglm_cauchit_15_rank,brglm_cauchit_inf,brglm_cauchit_inf_rank,glm_cauchit,glm_cauchit_rank,brglm_cauchit,brglm_cauchit_rank,NET
UCLA,2.95546745,43,2.964995092,43,3.177678352,43,2.850525731,43,76
UCSB,-0.02632013,167,-0.022495688,167,0.091161125,166,-0.059076519,167,177
UL-MONROE,-1.331556335,255,-1.328396987,255,-1.226266947,255,-1.355614506,255,255
UMASS LOWELL,-1.685359014,282,-1.68318797,282,-1.601262279,281,-1.697846496,282,257
UMBC,-1.297413915,252,-1.295260466,252,-1.215216553,252,-1.310239043,252,236
UMKC,-0.972727923,229,-0.971870025,229,-0.883412623,228,-0.969130074,225,252
UNC-ASH.,-1.816709375,292,-1.81449422,292,-1.72669559,292,-1.828507294,292,277
UNC-WILM.,-1.543867989,269,-1.540945337,269,-1.443648025,269,-1.565388732,270,297
UNCG,1.633996502,99,1.639898049,99,1.787340637,100,1.574611422,99,82
UNLV,0.891656408,119,0.897359915,119,1.043086574,118,0.834744812,119,108
USC,3.128339886,35,3.137646865,35,3.346410757,35,3.026177878,35,45
UT MARTIN,-3.301036686,336,-3.299732969,336,-3.227413041,336,-3.300014382,336,338
UT-ARLINGTON,-0.334933945,186,-0.331180017,186,-0.219432849,187,-0.366884617,185,129
UT-RIO GRANDE VALLEY,-1.702269178,283,-1.699882505,283,-1.611143233,283,-1.716760112,283,260
UT-SAN ANTONIO,-0.940012257,225,-0.936257073,225,-0.825568791,223,-0.972157334,226,204
UTAH,2.554411826,61,2.563492682,60,2.768700494,60,2.455059934,61,85
UTAH ST.,3.474147259,26,3.484612347,26,3.713667129,26,3.357868751,26,40
UTAH VALLEY,-1.843947806,294,-1.841838703,294,-1.74992674,294,-1.855146889,294,250
UTEP,-0.446000682,194,-0.442513019,194,-0.336646618,195,-0.474790275,194,195
VA. TECH,2.11090129,77,2.1196546,77,2.317799777,77,2.015506613,77,92
VALPARAISO,0.487596556,142,0.492438981,142,0.622660928,142,0.441502153,142,138
VANDERBILT,1.096730007,111,1.104278057,111,1.281043741,111,1.016461897,112,142
VCU,1.517919252,102,1.524043905,102,1.673999545,102,1.455017281,102,68
VERMONT,1.186787284,108,1.192225631,108,1.329909216,109,1.133266822,108,79
VILLANOVA,4.397883495,7,4.408748471,7,4.643916413,7,4.275881186,7,13
VIRGINIA,3.622667923,21,3.632002056,21,3.839967628,22,3.51976713,21,44
VMI,-2.862405993,333,-2.860509814,333,-2.7783873,333,-2.870008397,334,292
W. CAROLINA,0.771654027,124,0.776921415,124,0.914627792,124,0.720477101,124,136
W. ILLINOIS,-4.138541791,345,-4.138715109,345,-4.090108827,345,-4.119250023,345,334
W. KENTUCKY,0.741846834,126,0.745875567,126,0.86086406,126,0.705996171,126,123
W. MICHIGAN,-0.331843627,185,-0.32717104,185,-0.201559252,185,-0.375488304,188,235
W. VIRGINIA,3.330145563,31,3.339295209,31,3.544730244,31,3.229975327,31,17
WAGNER,-2.625224986,326,-2.62342394,326,-2.549044348,326,-2.633287521,326,328
WAKE FOREST,1.725348087,93,1.733898994,93,1.928584546,92,1.632499328,94,111
WASHINGTON,2.007278978,86,2.015518593,86,2.205559479,87,1.918599803,85,58
WASHINGTON ST.,0.763890296,125,0.769326991,125,0.911459452,125,0.709648425,125,115
WEBER ST.,-0.982993305,230,-0.979140197,230,-0.864070584,227,-1.016054034,231,273
WICHITA ST.,2.825610444,50,2.83446221,50,3.034400222,50,2.729149009,50,41
WILLIAM & MARY,0.551502412,140,0.555692674,140,0.673914697,140,0.513633839,140,165
WINTHROP,-0.373768416,189,-0.370907545,189,-0.273101996,190,-0.39411659,189,148
WISCONSIN,3.642857374,20,3.653525976,20,3.885721698,20,3.523597752,20,23
WOFFORD,-0.153446044,175,-0.149491619,175,-0.033885072,173,-0.187836402,175,155
WRIGHT ST.,0.940604876,116,0.945091878,116,1.06814593,116,0.899140021,116,127
WYOMING,-1.024727181,233,-1.020649084,233,-0.902879999,232,-1.060614174,235,271
XAVIER,3.415765749,29,3.426294651,29,3.655902304,29,3.298123128,29,47
YALE,1.658310822,98,1.665734545,98,1.840655399,96,1.579854524,98,69
YOUNGSTOWN ST.,-0.64862569,208,-0.644850969,208,-0.533689501,206,-0.680863395,210,232
