School,brglm_cauchit_15,brglm_cauchit_15_rank,brglm_cauchit_inf,brglm_cauchit_inf_rank,glm_cauchit,glm_cauchit_rank,brglm_cauchit,brglm_cauchit_rank,NET
DETROIT,-1.731080789,284,-1.727462933,284,-1.618515273,284,-1.761103065,286,307
DRAKE,0.406569859,146,0.410966852,146,0.534252939,146,0.366052555,146,156
DREXEL,-0.626606199,205,-0.623198862,205,-0.51904596,205,-0.654644503,206,237
DUKE,3.963672202,14,3.973314147,14,4.185854379,14,3.856525636,15,6
DUQUESNE,2.056321039,82,2.06317109,82,2.228486863,83,1.984538439,80,94
E. ILLINOIS,-1.783300881,290,-1.781215408,290,-1.695924322,291,-1.793733848,289,241
E. KENTUCKY,-1.02864912,234,-1.025939555,234,-0.93062024,235,-1.047268775,233,291
E. MICHIGAN,0.138151896,156,0.143014821,156,0.272413502,156,0.091905447,157,191
E. WASHINGTON,1.290254826,107,1.295870715,107,1.439710695,107,1.234476028,107,135
EAST CAROLINA,-1.407611175,260,-1.405949091,261,-1.321043598,260,-1.413250277,260,208
ELON,-0.992492299,231,-0.989119267,231,-0.885194889,229,-1.020023967,232,259
ETSU,3.621004851,22,3.630825085,22,3.848908653,21,3.512903972,22,36
EVANSVILLE,-1.666888154,279,-1.664166634,279,-1.56680425,278,-1.686031484,280,264
F. DICKINSON,-1.924662271,299,-1.922693546,299,-1.845272421,299,-1.934955796,298,281
FAIRFIELD,-1.573292833,272,-1.571253646,272,-1.491276344,272,-1.584192279,272,285
FAU,-0.337980606,188,-0.334067036,188,-0.221151214,188,-0.37227904,187,193
FGCU,-2.589398331,325,-2.587649097,325,-2.511840526,325,-2.595869654,325,312
FIU,0.077354149,163,0.081329156,163,0.19498799,163,0.042205712,162,170
FLORIDA,3.038318533,39,3.047689298,39,3.256648647,39,2.935231553,39,29
FLORIDA A&M,-1.422378117,262,-1.419694801,262,-1.325594854,263,-1.440616966,262,303
FLORIDA ST.,3.962738906,15,3.972173348,15,4.181727155,15,3.858526832,14,10
FORDHAM,-1.594829573,273,-1.592563822,273,-1.507208576,273,-1.608529287,273,244
FRESNO ST.,-0.464883763,198,-0.460726538,198,-0.341466565,196,-0.501948284,199,161
FURMAN,1.707878284,94,1.714139039,94,1.86880778,95,1.644130842,92,74
G-WEBB,-1.178836583,243,-1.1761588,243,-1.077239891,244,-1.196103869,242,212
GA. SOUTHERN,0.106780983,159,0.110637631,159,0.224163839,159,0.073517877,158,147
GEORGE MASON,0.574554692,139,0.579521888,139,0.711290525,139,0.526494233,139,167
GEORGE WASH.,0.04760779,164,0.053234066,164,0.184468458,164,-0.008284018,166,219
GEORGETOWN,2.936914114,45,2.947328321,45,3.174818063,45,2.820641367,45,65
GEORGIA,2.080037353,80,2.089091711,79,2.292646698,78,1.980971008,82,91
GEORGIA ST.,0.5975688,136,0.601848788,136,0.721943205,136,0.558663165,137,134
GEORGIA TECH,2.358515525,70,2.367311147,70,2.566221366,70,2.262591238,70,72
GONZAGA,5.498380022,4,5.510850395,4,5.779419989,4,5.358648413,4,1
GRAMBLING,-1.63838594,275,-1.635681361,275,-1.540377408,275,-1.656505898,276,300
GRAND CANYON,-1.20676541,246,-1.204518056,246,-1.113683821,246,-1.220044487,244,278
GREEN BAY,-0.817840726,218,-0.813863973,218,-0.699330381,218,-0.852635335,218,221
HAMPTON,-1.54454989,270,-1.542147293,270,-1.451394546,270,-1.558813902,269,308
HARTFORD,-1.342279336,257,-1.340000441,257,-1.256266006,257,-1.356126852,256,246
HARVARD,2.373151123,69,2.382550374,69,2.59269541,69,2.269836114,69,107
HAWAII,-0.063658088,169,-0.059659778,169,0.056650729,167,-0.098651478,169,215
HIGH POINT,-2.24424251,314,-2.241987663,314,-2.153827045,314,-2.256602541,313,333
HOFSTRA,0.70303888,128,0.706821561,128,0.816279779,129,0.669978123,128,118
HOLY CROSS,-3.925085038,344,-3.925334418,344,-3.884785383,344,-3.907320021,344,343
HOUSTON,3.031170521,40,3.040212028,40,3.243530682,40,2.93232353,40,20
HOUSTON BAP.,-3.882618805,342,-3.881946027,342,-3.821130671,342,-3.874333463,342,344
HOWARD,-6.060295908,352,-6.066939434,352,-6.153772684,352,-5.969953644,352,349
IDAHO,-2.028805139,303,-2.025624646,303,-1.921208796,302,-2.05315079,304,320
IDAHO ST.,-1.964920208,301,-1.961405886,301,-1.851603227,300,-1.99340182,301,279
ILL.-CHICAGO,-0.658194232,209,-0.654321198,209,-0.541266344,207,-0.691729744,211,217
ILLINOIS,3.36910873,30,3.379376825,30,3.604335179,30,3.254754354,30,39
ILLINOIS ST.,-0.834578883,219,-0.830646731,219,-0.715020525,219,-0.868897063,219,196
INCARNATE WORD,-3.443702694,338,-3.44265515,338,-3.375298849,338,-3.440157659,338,346
INDIANA,2.946602994,44,2.956532589,44,3.175672199,44,2.836593446,44,56
INDIANA ST.,0.812297533,121,0.817081899,121,0.946216281,122,0.766895259,121,105
IONA,-1.356202423,258,-1.354010602,258,-1.271461843,258,-1.368996675,257,224
IOWA,3.434294351,28,3.44445493,28,3.667505518,28,3.321288681,28,34
IOWA ST.,2.05100058,83,2.060157583,83,2.26617243,82,1.950809991,83,96
IUPUI,-3.13492414,335,-3.133004862,335,-3.051594562,335,-3.143053377,335,327
JACKSON ST.,-1.923847472,298,-1.921304224,298,-1.828786997,297,-1.939901763,299,289
JACKSONVILLE,-1.910903982,297,-1.909041553,297,-1.830890905,298,-1.918735061,296,251
JAMES MADISON,-1.330059469,254,-1.327062472,254,-1.22856843,256,-1.35277955,254,280
JAX. STATE,-2.445520643,321,-2.443741865,321,-2.364160848,321,-2.451451264,321,284
KANSAS,6.098344873,2,6.112699857,2,6.421522773,2,5.937945411,2,2
KANSAS ST.,1.174530168,110,1.181837018,109,1.355386899,108,1.097587039,110,99
KENNESAW ST.,-8.52872816,353,-8.563344967,353,-9.983228755,353,-8.184166641,353,352
KENT ST.,0.721108441,127,0.726045685,127,0.856112982,127,0.673826957,127,117
KENTUCKY,4.042700801,12,4.052415654,12,4.267006447,12,3.935150949,12,21
LA SALLE,0.635881429,134,0.641412006,134,0.781426312,133,0.580849339,135,171
LAFAYETTE,-0.601665135,204,-0.599418923,204,-0.518524576,204,-0.615937063,204,223
LAMAR,-1.751771956,287,-1.749653975,287,-1.664713422,287,-1.762498795,287,267
LBSU,-1.382706006,259,-1.379722295,259,-1.278560701,259,-1.404916136,259,306
LEHIGH,-1.484778307,264,-1.482414368,264,-1.398649974,264,-1.500474091,264,288
LIBERTY,2.297230674,73,2.304594578,73,2.477660991,74,2.219100705,72,67
LIPSCOMB,-1.766949875,288,-1.765104403,288,-1.686817135,288,-1.774291167,288,254
LITTLE ROCK,0.700604349,129,0.704844124,129,0.824457695,128,0.662272804,130,140
LIU,-1.661257015,278,-1.659131094,278,-1.577572711,279,-1.673068537,277,272
LMU,-1.186430575,244,-1.182106944,244,-1.059255253,242,-1.225287533,245,207
LONGWOOD,-1.892360739,295,-1.890066254,295,-1.802029542,296,-1.905432194,295,302
LOUISIANA,-0.534219287,202,-0.53039639,202,-0.417471645,200,-0.56699305,202,230
LOUISIANA TECH,0.839341058,120,0.843240359,120,0.955550406,120,0.805097798,120,87
LOUISVILLE,3.586584217,23,3.595885587,23,3.803307737,23,3.48417132,23,8
LOYOLA-CHI.,1.079716388,112,1.08528645,112,1.227821434,112,1.024350799,111,98
LOYOLA-MD.,-1.51867912,266,-1.516398213,266,-1.433084869,266,-1.532969002,266,248
LSU,3.123060005,36,3.132284442,36,3.338896958,36,3.021911996,36,28
MAINE,-2.039010886,304,-2.036851173,304,-1.954350635,304,-2.051130772,303,318
MANHATTAN,-1.407890979,261,-1.405612033,260,-1.32146953,261,-1.421836746,261,269
MARIST,-2.641678988,327,-2.639874271,327,-2.562507492,328,-2.649168519,327,311
MARQUETTE,3.4887162,25,3.499308239,25,3.730017701,25,3.370266148,25,26
MARSHALL,-0.163047152,176,-0.159183275,176,-0.0473549,176,-0.196727645,176,172
MARYLAND,3.871525488,17,3.881740623,17,4.105755968,17,3.757837452,17,18
MASSACHUSETTS,0.930495861,117,0.936365096,117,1.083710144,115,0.871162884,117,132
MCNEESE ST.,-2.421103079,320,-2.419063715,320,-2.33834836,320,-2.430142517,320,295
MD.-E. SHORE,-5.516973249,351,-5.523535242,351,-5.608599915,351,-5.427520456,351,350
MEMPHIS,2.467755375,63,2.476337957,63,2.67145697,64,2.374698881,63,59
MERCER,-0.140483046,172,-0.136108948,172,-0.014009775,172,-0.180316314,172,187
MERRIMACK,-0.710580823,214,-0.708093008,214,-0.620350342,215,-0.726856396,214,216
